id,name,email,datetime,clinicName
50,Bessie Castillo,bessie_castillo@gmail.com,2019-11-19T14:05:25.540Z,SOLESTA
51,Corey Lindsey,corey_lindsey@gmail.com,2019-11-18T15:42:03.024Z,SANTA_FE
52,Harriett Erickson,harriett_erickson@gmail.com,2019-11-03T17:44:07.028Z,SOLESTA
53,Jason Butler,jason_butler@gmail.com,2019-11-18T11:06:54.162Z,ANGELOPOLIS
54,Nettie Brooks,nettie_brooks@gmail.com,2019-11-17T14:07:10.604Z,SANTA_FE
55,Gerald Garcia,gerald_garcia@gmail.com,2019-11-13T19:10:18.569Z,SOLESTA
56,Mamie Burke,mamie_burke@gmail.com,2019-11-29T15:25:03.977Z,EXPLANADA
57,Joseph McCarthy,joseph_mccarthy@gmail.com,2019-11-09T15:51:25.283Z,SANTA_FE
58,Beulah Fernandez,beulah_fernandez@gmail.com,2019-11-12T06:22:55.930Z,SANTA_FE
59,Lela McGee,olga_ball@gmail.com,2019-11-12T14:05:29.038Z,EXPLANADA
60,Jim Green,jim_green@gmail.com,2019-11-16T19:08:01.671Z,EXPLANADA
61,Josie Ross,josie_ross@gmail.com,2019-11-28T02:20:04.929Z,EXPLANADA
62,Lewis Fisher,lewis_fisher@gmail.com,2019-11-30T10:13:46.061Z,EXPLANADA
63,Violet Munoz,violet_munoz@gmail.com,2019-11-21T13:35:37.840Z,ANGELOPOLIS
64,Roy Riley,juan_daniels@gmail.com,2019-11-25T15:09:42.966Z,ANGELOPOLIS
65,Lilly Holmes,lilly_holmes@gmail.com,2019-11-04T02:34:22.439Z,EXPLANADA
66,Elmer Perkins,elmer_perkins@gmail.com,2019-11-14T20:07:54.278Z,SOLESTA
67,Randy Graves,randy_graves@gmail.com,2019-11-06T09:32:50.640Z,SANTA_FE
68,Roxie Webb,roxie_webb@gmail.com,2019-11-16T18:06:43.049Z,SANTA_FE
69,Evan Sullivan,evan_sullivan@gmail.com,2019-11-05T20:42:58.644Z,ANGELOPOLIS
70,Johanna Jimenez,lina_logan@gmail.com,2019-11-30T18:22:33.697Z,SOLESTA
71,Jorge Snyder,jorge_snyder@gmail.com,2019-11-15T14:10:41.684Z,ANGELOPOLIS
72,Lora Jefferson,lora_jefferson@gmail.com,2019-11-23T02:50:06.085Z,SOLESTA
73,Madge Washington,madge_washington@gmail.com,2019-11-05T01:10:08.583Z,ANGELOPOLIS
74,Mathilda Walters,mathilda_walters@gmail.com,2019-11-30T11:02:10.866Z,ANGELOPOLIS
75,Sallie Hunt,sallie_hunt@gmail.com,2019-11-08T23:25:17.867Z,SOLESTA
76,Maria Jensen,maria_jensen@gmail.com,2019-11-14T04:32:01.277Z,EXPLANADA
77,Olga Castro,gregory_colon@gmail.com,2019-11-01T08:48:37.400Z,SOLESTA
78,Joshua Butler,joshua_butler@gmail.com,2019-11-26T05:54:10.954Z,SOLESTA
79,Gavin Ramos,gavin_ramos@gmail.com,2019-11-10T13:38:17.560Z,SANTA_FE
80,Bessie West,bessie_west@gmail.com,2019-11-26T08:17:04.298Z,SOLESTA
81,Elva Sanchez,gerald_garcia@gmail.com,2019-11-29T08:02:13.215Z,SANTA_FE
82,Nelle Burns,nelle_burns@gmail.com,2019-11-22T03:04:04.337Z,SOLESTA
83,Florence McCormick,florence_mccormick@gmail.com,2019-11-06T00:48:22.618Z,ANGELOPOLIS
84,Harry Pearson,harry_pearson@gmail.com,2019-11-19T11:53:59.331Z,SANTA_FE
85,Jane McGuire,jane_mcguire@gmail.com,2019-11-15T09:15:54.711Z,SANTA_FE
86,Phoebe Hunter,phoebe_hunter@gmail.com,2019-11-06T12:19:50.779Z,SANTA_FE
87,Jeffery French,jeffery_french@gmail.com,2019-11-14T00:37:03.023Z,SOLESTA
88,Antonio Barton,antonio_barton@gmail.com,2019-11-29T09:52:27.300Z,SANTA_FE
89,Stella Cummings,stella_cummings@gmail.com,2019-11-29T19:50:23.691Z,EXPLANADA
90,Fannie Gonzales,fannie_gonzales@gmail.com,2019-11-14T14:09:32.785Z,SOLESTA
91,Nathan Payne,nathan_payne@gmail.com,2019-11-08T17:07:22.475Z,EXPLANADA
92,Augusta Henry,augusta_henry@gmail.com,2019-11-15T06:59:08.416Z,EXPLANADA
93,Winnie Frazier,winnie_frazier@gmail.com,2019-11-26T03:47:29.347Z,EXPLANADA
94,Julian Holland,julian_holland@gmail.com,2019-11-04T19:28:17.459Z,EXPLANADA
95,Bill Spencer,bill_spencer@gmail.com,2019-11-10T12:49:36.127Z,EXPLANADA
96,Andrew Barnes,andrew_barnes@gmail.com,2019-11-21T15:46:17.546Z,ANGELOPOLIS
97,Rena Carlson,rena_carlson@gmail.com,2019-11-29T10:17:00.207Z,EXPLANADA
98,Patrick Palmer,patrick_palmer@gmail.com,2019-11-16T01:31:51.178Z,ANGELOPOLIS
99,Logan Salazar,logan_salazar@gmail.com,2019-12-01T05:07:30.940Z,SOLESTA
100,Sarah Walsh,sarah_walsh@gmail.com,2019-11-21T04:29:37.541Z,SANTA_FE
101,Bobby Craig,bobby_craig@gmail.com,2019-11-26T03:05:48.118Z,SANTA_FE
102,Lula Cross,lula_cross@gmail.com,2019-11-09T22:02:57.159Z,SANTA_FE
103,Tyler Bryan,tyler_bryan@gmail.com,2019-11-02T22:40:06.492Z,SOLESTA
104,Ophelia Wallace,ophelia_wallace@gmail.com,2019-11-19T20:53:49.730Z,EXPLANADA
105,Eva Patton,eva_patton@gmail.com,2019-11-03T19:32:41.088Z,ANGELOPOLIS
106,Kathryn Schultz,kathryn_schultz@gmail.com,2019-11-08T14:50:19.961Z,SOLESTA
107,Elmer Walker,elmer_walker@gmail.com,2019-11-28T21:03:42.832Z,SANTA_FE
108,Elizabeth Barnett,elizabeth_barnett@gmail.com,2019-11-01T12:31:21.504Z,ANGELOPOLIS
109,Amelia Hanson,amelia_hanson@gmail.com,2019-11-17T20:46:02.573Z,ANGELOPOLIS
110,Luella Jimenez,luella_jimenez@gmail.com,2019-11-02T15:25:21.291Z,SANTA_FE
111,Alberta Norton,alberta_norton@gmail.com,2019-11-13T19:26:07.857Z,ANGELOPOLIS
112,Hattie Armstrong,hattie_armstrong@gmail.com,2019-11-10T21:05:00.709Z,EXPLANADA
113,Leila Higgins,leila_higgins@gmail.com,2019-11-21T16:05:53.246Z,SANTA_FE
114,Derrick Nguyen,derrick_nguyen@gmail.com,2019-11-16T00:26:07.432Z,SOLESTA
115,Jason Jensen,jason_jensen@gmail.com,2019-11-23T01:24:08.041Z,SANTA_FE
116,Genevieve Soto,genevieve_soto@gmail.com,2019-11-15T02:14:48.846Z,ANGELOPOLIS
117,Nelle Richardson,nelle_richardson@gmail.com,2019-11-07T21:35:36.924Z,SOLESTA
118,Belle Collins,belle_collins@gmail.com,2019-11-29T02:13:56.726Z,ANGELOPOLIS
119,Mabelle Greene,mabelle_greene@gmail.com,2019-11-07T01:23:35.683Z,SOLESTA
120,Flora Hughes,juan_daniels@gmail.com,2019-11-27T14:50:37.365Z,SANTA_FE
121,Willie Francis,willie_francis@gmail.com,2019-11-02T22:05:42.710Z,SOLESTA
122,Lily Becker,lily_becker@gmail.com,2019-11-27T05:47:08.181Z,SANTA_FE
123,Cynthia Barton,cynthia_barton@gmail.com,2019-11-09T00:17:57.868Z,ANGELOPOLIS
124,Randy Craig,randy_craig@gmail.com,2019-11-29T23:42:04.990Z,EXPLANADA
125,Sadie Christensen,sadie_christensen@gmail.com,2019-11-30T01:17:29.038Z,EXPLANADA
126,Ralph Singleton,ralph_singleton@gmail.com,2019-11-13T17:24:12.642Z,ANGELOPOLIS
127,Bettie Benson,bettie_benson@gmail.com,2019-11-24T01:52:52.292Z,SOLESTA
128,Darrell Jefferson,darrell_jefferson@gmail.com,2019-11-03T15:56:21.295Z,SANTA_FE
129,Leon Jefferson,leon_jefferson@gmail.com,2019-11-13T08:49:06.785Z,EXPLANADA
130,Melvin Powell,melvin_powell@gmail.com,2019-11-11T08:26:52.562Z,ANGELOPOLIS
131,Ethan Barnett,ethan_barnett@gmail.com,2019-11-01T22:22:49.755Z,SOLESTA
132,Isabella Lamb,isabella_lamb@gmail.com,2019-11-12T22:39:03.907Z,ANGELOPOLIS
133,Lester West,lester_west@gmail.com,2019-11-18T00:52:20.791Z,ANGELOPOLIS
134,Laura Harrington,laura_harrington@gmail.com,2019-11-27T05:56:39.920Z,ANGELOPOLIS
135,Angel Barber,derrick_nguyen@gmail.com,2019-11-17T20:05:00.664Z,EXPLANADA
136,Teresa Turner,teresa_turner@gmail.com,2019-11-23T12:02:08.040Z,SOLESTA
137,Alvin Daniels,alvin_daniels@gmail.com,2019-11-27T21:59:15.861Z,SANTA_FE
138,Christian Duncan,christian_duncan@gmail.com,2019-11-24T08:43:41.025Z,EXPLANADA
139,Ruth Ballard,ruth_ballard@gmail.com,2019-11-15T16:01:41.174Z,SANTA_FE
140,Katharine Roberts,joseph_mccarthy@gmail.com,2019-11-14T19:46:37.379Z,SOLESTA
141,Leo Obrien,leo_obrien@gmail.com,2019-11-26T22:48:36.875Z,SOLESTA
142,Sean Soto,sean_soto@gmail.com,2019-11-10T01:13:26.584Z,SANTA_FE
143,Kenneth Baker,kenneth_baker@gmail.com,2019-11-10T11:21:19.428Z,EXPLANADA
144,Leroy Freeman,leroy_freeman@gmail.com,2019-11-29T21:49:22.204Z,SOLESTA
145,Mina Fox,mina_fox@gmail.com,2019-11-30T12:07:07.078Z,SOLESTA
146,Clarence Jackson,clarence_jackson@gmail.com,2019-11-16T21:08:07.250Z,SANTA_FE
147,Jeremiah Reese,jeremiah_reese@gmail.com,2019-11-05T05:08:40.610Z,SOLESTA
148,Hattie Valdez,hattie_valdez@gmail.com,2019-11-18T09:21:35.567Z,ANGELOPOLIS
149,Essie Dixon,essie_dixon@gmail.com,2019-11-30T12:50:54.395Z,EXPLANADA
150,Lenora Ramsey,lenora_ramsey@gmail.com,2019-11-18T13:59:20.755Z,SANTA_FE
151,Mae Marsh,mae_marsh@gmail.com,2019-11-21T21:41:14.881Z,SOLESTA
152,Martin Glover,martin_glover@gmail.com,2019-11-14T14:04:00.492Z,SOLESTA
153,Margaret Erickson,margaret_erickson@gmail.com,2019-11-22T11:35:45.339Z,SANTA_FE
154,Terry Moss,terry_moss@gmail.com,2019-11-04T16:58:31.894Z,SANTA_FE
155,Ora Price,ora_price@gmail.com,2019-11-02T15:53:29.662Z,EXPLANADA
156,Blake Fuller,blake_fuller@gmail.com,2019-11-09T19:08:01.164Z,ANGELOPOLIS
157,Luella Brock,luella_brock@gmail.com,2019-11-29T07:44:59.875Z,ANGELOPOLIS
158,Rodney Ray,rodney_ray@gmail.com,2019-11-21T17:55:44.631Z,EXPLANADA
159,Paul Frazier,paul_frazier@gmail.com,2019-12-01T00:27:02.176Z,SANTA_FE
160,Kevin Cummings,kevin_cummings@gmail.com,2019-11-23T19:35:23.825Z,SOLESTA
161,Jane Griffith,jane_griffith@gmail.com,2019-11-10T14:17:24.126Z,SOLESTA
162,Shawn Quinn,shawn_quinn@gmail.com,2019-11-09T06:20:01.658Z,SANTA_FE
163,Andre Murphy,andre_murphy@gmail.com,2019-11-28T10:41:03.555Z,EXPLANADA
164,Keith Salazar,keith_salazar@gmail.com,2019-11-14T03:15:25.574Z,SANTA_FE
165,Virgie Carlson,virgie_carlson@gmail.com,2019-11-02T18:05:49.138Z,SANTA_FE
166,Eugene Doyle,eugene_doyle@gmail.com,2019-11-01T22:24:37.079Z,ANGELOPOLIS
167,Devin Santiago,devin_santiago@gmail.com,2019-11-12T19:50:54.751Z,SOLESTA
168,Leona Cruz,leona_cruz@gmail.com,2019-11-10T20:10:17.027Z,ANGELOPOLIS
169,Leah Reese,leah_reese@gmail.com,2019-12-01T00:15:34.119Z,EXPLANADA
170,Caroline Owen,caroline_owen@gmail.com,2019-11-08T06:08:06.864Z,SOLESTA
171,Cory Peters,cory_peters@gmail.com,2019-11-23T14:50:24.372Z,SOLESTA
172,Clarence Patton,clarence_patton@gmail.com,2019-11-30T13:44:39.674Z,ANGELOPOLIS
173,Keith Turner,keith_turner@gmail.com,2019-11-22T07:56:22.782Z,SANTA_FE
174,Ryan Simon,ryan_simon@gmail.com,2019-11-08T07:52:20.966Z,ANGELOPOLIS
175,Jimmy Howell,jimmy_howell@gmail.com,2019-11-16T17:42:59.180Z,SANTA_FE
176,Pauline Collins,pauline_collins@gmail.com,2019-11-06T06:39:31.605Z,ANGELOPOLIS
177,Jane Gilbert,alberta_norton@gmail.com,2019-11-02T03:16:07.740Z,ANGELOPOLIS
178,Brandon Simmons,brandon_simmons@gmail.com,2019-11-12T13:58:14.378Z,ANGELOPOLIS
179,Cynthia Cortez,cynthia_cortez@gmail.com,2019-11-03T05:42:54.891Z,ANGELOPOLIS
180,Johanna Paul,johanna_paul@gmail.com,2019-11-15T01:15:16.760Z,EXPLANADA
181,Madge Bowers,madge_bowers@gmail.com,2019-11-07T17:44:06.766Z,ANGELOPOLIS
182,Larry Mason,larry_mason@gmail.com,2019-11-17T15:43:10.835Z,ANGELOPOLIS
183,Genevieve May,genevieve_may@gmail.com,2019-11-06T10:12:33.252Z,ANGELOPOLIS
184,Mason Gonzales,mason_gonzales@gmail.com,2019-11-08T04:38:23.473Z,SANTA_FE
185,Donald Chambers,donald_chambers@gmail.com,2019-11-09T12:38:27.813Z,ANGELOPOLIS
186,Cora Blake,cora_blake@gmail.com,2019-11-12T23:32:48.342Z,SANTA_FE
187,Oscar Wilkerson,oscar_wilkerson@gmail.com,2019-11-01T23:20:08.488Z,SOLESTA
188,Iva Ferguson,iva_ferguson@gmail.com,2019-11-15T21:20:07.697Z,EXPLANADA
189,Rosalie Ford,rosalie_ford@gmail.com,2019-11-09T21:24:52.568Z,EXPLANADA
190,Sally Lynch,sally_lynch@gmail.com,2019-11-05T03:50:19.895Z,ANGELOPOLIS
191,Maude Coleman,maude_coleman@gmail.com,2019-11-20T15:39:57.992Z,ANGELOPOLIS
192,Keith Gregory,keith_gregory@gmail.com,2019-11-08T08:32:36.844Z,SANTA_FE
193,Juan Boone,juan_boone@gmail.com,2019-11-06T03:04:28.178Z,SOLESTA
194,Ryan Harvey,ryan_harvey@gmail.com,2019-11-13T05:50:21.364Z,SOLESTA
195,Adam Marsh,adam_marsh@gmail.com,2019-11-04T11:23:42.973Z,ANGELOPOLIS
196,Lola Guzman,lola_guzman@gmail.com,2019-11-19T00:31:30.188Z,EXPLANADA
197,Ralph Castro,ralph_castro@gmail.com,2019-11-13T03:54:21.126Z,EXPLANADA
198,Charlotte Sparks,charlotte_sparks@gmail.com,2019-11-30T08:28:08.304Z,EXPLANADA
199,Gordon Robertson,gordon_robertson@gmail.com,2019-11-25T22:19:19.238Z,SANTA_FE
200,Kathryn Kelley,kathryn_kelley@gmail.com,2019-11-27T21:29:36.348Z,SANTA_FE
201,Lora Gibson,lora_gibson@gmail.com,2019-11-21T14:55:53.569Z,SOLESTA
202,Verna Watkins,verna_watkins@gmail.com,2019-11-05T07:47:40.894Z,SOLESTA
203,Genevieve McGee,genevieve_mcgee@gmail.com,2019-11-11T20:42:10.788Z,ANGELOPOLIS
204,Sallie Clark,sallie_clark@gmail.com,2019-11-25T08:09:43.459Z,SANTA_FE
205,Ollie Lee,ollie_lee@gmail.com,2019-11-20T14:17:30.064Z,SOLESTA
206,Jimmy Alvarez,jimmy_alvarez@gmail.com,2019-11-30T07:21:42.105Z,SOLESTA
207,Samuel Schneider,samuel_schneider@gmail.com,2019-11-04T23:08:10.367Z,SANTA_FE
208,Douglas Elliott,douglas_elliott@gmail.com,2019-11-12T23:47:19.766Z,SANTA_FE
209,Gary Pena,gary_pena@gmail.com,2019-11-09T18:28:09.414Z,SANTA_FE
210,Annie Long,annie_long@gmail.com,2019-11-01T20:46:43.245Z,SANTA_FE
211,Craig Butler,eugene_doyle@gmail.com,2019-11-21T19:10:32.654Z,SANTA_FE
212,Lillian Burgess,lillian_burgess@gmail.com,2019-11-28T09:11:07.077Z,SANTA_FE
213,Alma Douglas,devin_santiago@gmail.com,2019-11-09T12:16:57.289Z,SOLESTA
214,Hilda Castillo,hilda_castillo@gmail.com,2019-11-17T09:48:19.863Z,SOLESTA
215,Luella Gordon,luella_gordon@gmail.com,2019-11-10T01:19:43.801Z,SANTA_FE
216,Katie Roberts,katie_roberts@gmail.com,2019-11-14T06:01:38.962Z,SOLESTA
217,Rachel Peterson,rachel_peterson@gmail.com,2019-11-29T17:07:59.302Z,ANGELOPOLIS
218,Leona Sullivan,leona_sullivan@gmail.com,2019-11-06T15:46:56.549Z,ANGELOPOLIS
219,Herbert Tucker,herbert_tucker@gmail.com,2019-11-02T18:50:10.095Z,ANGELOPOLIS
220,Isaac Anderson,isaac_anderson@gmail.com,2019-11-20T14:26:07.717Z,ANGELOPOLIS
221,Josephine Brady,josephine_brady@gmail.com,2019-11-25T19:33:51.394Z,EXPLANADA
222,Alta Colon,alta_colon@gmail.com,2019-11-05T20:10:50.242Z,ANGELOPOLIS
223,Isaac Osborne,isaac_osborne@gmail.com,2019-11-06T18:55:00.933Z,ANGELOPOLIS
224,Martha Buchanan,martha_buchanan@gmail.com,2019-11-01T11:32:38.890Z,ANGELOPOLIS
225,Betty Alvarez,betty_alvarez@gmail.com,2019-11-29T13:33:00.113Z,ANGELOPOLIS
226,Essie Jefferson,essie_jefferson@gmail.com,2019-11-13T08:22:02.133Z,SOLESTA
227,Stanley Lawson,jane_mcguire@gmail.com,2019-11-27T21:57:37.699Z,SOLESTA
228,Clarence Thornton,clarence_thornton@gmail.com,2019-11-28T04:52:44.874Z,SOLESTA
229,Philip Hopkins,philip_hopkins@gmail.com,2019-11-13T17:44:14.227Z,EXPLANADA
230,Adele Collins,adele_collins@gmail.com,2019-11-13T05:31:34.936Z,EXPLANADA
231,Brandon Allison,brandon_allison@gmail.com,2019-11-10T13:07:17.106Z,EXPLANADA
232,Gilbert Peters,gilbert_peters@gmail.com,2019-11-20T20:43:13.991Z,ANGELOPOLIS
233,Viola Spencer,viola_spencer@gmail.com,2019-11-28T05:07:45.915Z,ANGELOPOLIS
234,Helena Bryan,clarence_patton@gmail.com,2019-11-12T06:23:53.479Z,SOLESTA
235,Mabelle Dean,mabelle_dean@gmail.com,2019-11-05T05:39:20.394Z,ANGELOPOLIS
236,Corey Manning,corey_manning@gmail.com,2019-11-21T18:36:09.206Z,ANGELOPOLIS
237,Eleanor Pierce,eleanor_pierce@gmail.com,2019-11-12T14:29:05.828Z,ANGELOPOLIS
238,Ernest Singleton,ernest_singleton@gmail.com,2019-11-17T01:00:12.776Z,ANGELOPOLIS
239,Derrick Black,derrick_black@gmail.com,2019-11-05T23:32:38.311Z,SOLESTA
240,Milton Hudson,milton_hudson@gmail.com,2019-11-29T10:39:51.394Z,SANTA_FE
241,Wesley Gibbs,wesley_gibbs@gmail.com,2019-11-23T20:52:54.392Z,SOLESTA
242,Nettie Watson,nettie_watson@gmail.com,2019-11-16T18:20:47.635Z,SOLESTA
243,Roger Wallace,roger_wallace@gmail.com,2019-11-06T19:00:52.551Z,ANGELOPOLIS
244,Austin Nelson,austin_nelson@gmail.com,2019-11-04T17:30:50.427Z,EXPLANADA
245,Charlie McBride,charlie_mcbride@gmail.com,2019-11-07T06:32:08.277Z,SANTA_FE
246,Tillie Cohen,gerald_garcia@gmail.com,2019-11-06T19:11:50.218Z,SANTA_FE
247,Lucinda Massey,lucinda_massey@gmail.com,2019-11-06T18:41:16.417Z,SOLESTA
248,James Chavez,clarence_patton@gmail.com,2019-11-18T09:57:10.364Z,EXPLANADA
249,Martin Nash,martin_nash@gmail.com,2019-11-16T09:40:56.733Z,EXPLANADA
250,Jonathan Sharp,jonathan_sharp@gmail.com,2019-11-19T09:05:09.386Z,EXPLANADA
251,Iva Sandoval,iva_sandoval@gmail.com,2019-11-26T06:16:32.802Z,SANTA_FE
252,Mable Stevenson,mable_stevenson@gmail.com,2019-11-02T00:05:23.224Z,SANTA_FE
253,Mable Lambert,juan_daniels@gmail.com,2019-11-10T12:34:18.823Z,EXPLANADA
254,Josephine Wolfe,josephine_wolfe@gmail.com,2019-11-24T05:52:44.979Z,EXPLANADA
255,Augusta Mack,augusta_mack@gmail.com,2019-11-13T21:57:34.418Z,SANTA_FE
256,Lillie Frank,lillie_frank@gmail.com,2019-11-16T07:31:27.018Z,SANTA_FE
257,Francis Berry,francis_berry@gmail.com,2019-11-07T18:11:09.485Z,EXPLANADA
258,Henrietta Watkins,henrietta_watkins@gmail.com,2019-11-07T17:45:19.683Z,SOLESTA
259,Sarah Hicks,sarah_hicks@gmail.com,2019-11-11T09:44:24.272Z,EXPLANADA
260,Rodney Haynes,rodney_haynes@gmail.com,2019-11-27T06:27:27.458Z,SANTA_FE
261,Millie Tucker,millie_tucker@gmail.com,2019-11-13T03:13:42.380Z,SOLESTA
262,Agnes Greene,devin_santiago@gmail.com,2019-11-01T21:38:45.633Z,SANTA_FE
263,Christina Carson,christina_carson@gmail.com,2019-11-25T13:56:33.504Z,SOLESTA
264,Lucy Thompson,lucy_thompson@gmail.com,2019-11-05T11:49:33.166Z,EXPLANADA
265,Noah Cole,noah_cole@gmail.com,2019-11-17T12:04:58.699Z,ANGELOPOLIS
266,Jack Lewis,jack_lewis@gmail.com,2019-11-29T01:55:09.119Z,SANTA_FE
267,Leona Tate,leona_tate@gmail.com,2019-11-23T15:56:19.444Z,EXPLANADA
268,Lottie Bowman,lottie_bowman@gmail.com,2019-11-28T11:13:02.565Z,EXPLANADA
269,Bernice Gibson,bernice_gibson@gmail.com,2019-11-03T08:31:38.890Z,ANGELOPOLIS
270,Alan Becker,alan_becker@gmail.com,2019-11-26T22:05:33.497Z,SANTA_FE
271,Julian Ortega,julian_ortega@gmail.com,2019-11-01T09:29:42.215Z,EXPLANADA
272,Curtis Boyd,curtis_boyd@gmail.com,2019-11-09T01:12:41.187Z,SOLESTA
273,Dean Oliver,roger_wallace@gmail.com,2019-11-28T07:09:06.635Z,SOLESTA
274,Dale Atkins,dale_atkins@gmail.com,2019-11-18T02:35:53.519Z,ANGELOPOLIS
275,Genevieve Rowe,genevieve_rowe@gmail.com,2019-11-25T09:43:02.333Z,EXPLANADA
276,Russell Hansen,russell_hansen@gmail.com,2019-11-28T18:09:46.995Z,EXPLANADA
277,Christina Price,christina_price@gmail.com,2019-11-07T16:12:01.179Z,SOLESTA
278,Maude Lloyd,maude_lloyd@gmail.com,2019-11-16T16:12:15.166Z,SOLESTA
279,Rosetta Boone,rosetta_boone@gmail.com,2019-11-27T05:36:30.408Z,ANGELOPOLIS
280,Harriett Morgan,harriett_morgan@gmail.com,2019-11-07T11:40:53.158Z,SANTA_FE
281,Jeanette Gonzalez,jeanette_gonzalez@gmail.com,2019-11-22T15:50:44.353Z,ANGELOPOLIS
282,Francis Joseph,francis_joseph@gmail.com,2019-11-01T16:37:36.398Z,SANTA_FE
